지하철 역명,지하철역 출입구 번호,경도,위도
서울역,1번 출구,126.9716163,37.55494758
서울역,2번 출구,126.9716957,37.55443403
서울역,3번 출구,126.9698511,37.55430744
서울역,4번 출구,126.9731432,37.5574437
서울역,5번 출구,126.9731434,37.55700221
서울역,6번 출구,126.9733359,37.55682206
서울역,7번 출구,126.9736189,37.55669598
서울역,8번 출구,126.9735172,37.55616437
서울역,9번 출구,126.9732796,37.55589402
서울역,9-1번 출구,126.9727593,37.5549929
서울역,10번 출구,126.9736876,37.55422726
서울역,11번 출구,126.9729976,37.55336215
서울역,12번 출구,126.9727037,37.55236198
서울역,13번 출구,126.972285,37.55243396
서울역,14번 출구,126.9724996,37.55334402
서울역,15번 출구,126.9693873,37.5536586
용산역,1번 출구,126.9650531,37.52894297
용산역,2번 출구,126.9649735,37.52983494
용산역,3번 출구,126.9635019,37.53164551
신용산역,1번 출구,126.9688088,37.52986305
신용산역,2번 출구,126.9675535,37.52854725
신용산역,3번 출구,126.9669879,37.52851105
신용산역,4번 출구,126.9675533,37.52912389
신용산역,5번 출구,126.9679942,37.52987184
신용산역,6번 출구,126.9684693,37.53005217
삼각지역,1번 출구,126.9734117,37.53460344
삼각지역,2번 출구,126.9730271,37.53422493
삼각지역,3번 출구,126.9720997,37.5333147
삼각지역,4번 출구,126.9717489,37.53353086
삼각지역,5번 출구,126.972631,37.53446811
삼각지역,6번 출구,126.9730043,37.53485563
삼각지역,7번 출구,126.9733888,37.53531522
삼각지역,8번 출구,126.9734113,37.53552246
삼각지역,9번 출구,126.973694,37.5361352
삼각지역,10번 출구,126.9739315,37.53638754
삼각지역,11번 출구,126.9746898,37.53581106
삼각지역,12번 출구,126.9747917,37.53554078
삼각지역,13번 출구,126.9744298,37.53507218
삼각지역,14번 출구,126.9741356,37.5350541
숙대입구역,1번 출구,126.9721517,37.54562238
숙대입구역,2번 출구,126.9723555,37.5453251
숙대입구역,3번 출구,126.9723895,37.54502777
숙대입구역,4번 출구,126.9722765,37.54476646
숙대입구역,5번 출구,126.9724465,37.54411778
숙대입구역,6번 출구,126.9725258,37.54381146
숙대입구역,7번 출구,126.9721298,37.54373027
숙대입구역,8번 출구,126.9720391,37.54408164
숙대입구역,9번 출구,126.9718805,37.54468527
숙대입구역,10번 출구,126.9717444,37.54547812
남영역,1번 출구,126.9712479,37.54165776
이촌역,1번 출구,126.9753167,37.52168349
이촌역,2번 출구,126.9756898,37.52219713
이촌역,3-1번 출구,126.9753167,37.52168349
이촌역,4번 출구,126.9733708,37.52218762
이촌역,5번 출구,126.9733707,37.52256605
서빙고역,1번 출구,126.9893781,37.51988358
서빙고역,2번 출구,126.9897402,37.51911776
한남역,1번 출구,127.0080891,37.52929926
효창공원앞역,1번 출구,126.9612237,37.53951953
효창공원앞역,2번 출구,126.9615746,37.53938449
효창공원앞역,3번 출구,126.9616426,37.53911421
효창공원앞역,4번 출구,126.9625027,37.53873607
효창공원앞역,5번 출구,126.963227,37.538466
효창공원앞역,6번 출구,126.960941,37.53935725
녹사평역,1번 출구,126.9863776,37.53529942
녹사평역,2번 출구,126.9866378,37.53564183
녹사평역,3번 출구,126.9868077,37.53449757
녹사평역,4번 출구,126.9860609,37.53470472
이태원역,1번 출구,126.9936414,37.53458824
이태원역,2번 출구,126.994309,37.53463332
이태원역,3번 출구,126.9943316,37.53441708
이태원역,4번 출구,126.9936641,37.534372
한강진역,1번 출구,127.0016294,37.54020163
한강진역,2번 출구,127.0019688,37.54052599
한강진역,3번 출구,127.0019462,37.5401746
한강진역,4번 출구,126.9936641,37.534372
